"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"885",NA,"2016-01-05 12:41:34",-74.0852376575,4.63874255,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"884",7,"2016-01-05 12:46:30",-70.3028025,19.0974031,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"883",18,"2016-01-05 12:54:36",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"882",26,"2016-01-05 12:59:20",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"881",18,"2016-01-05 13:06:36",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"880",38,"2016-01-05 13:10:19",121.0329706,14.5736108,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"879",18,"2016-01-05 13:12:43",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"878",19,"2016-01-05 13:15:58",-58.1693444,-23.3165934,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"877",19,"2016-01-05 13:22:40",-58.1693444,-23.3165934,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"876",14,"2016-01-05 13:22:43",-60.4289717,-24.5955305,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"875",14,"2016-01-05 13:23:41",-60.4289717,-24.5955305,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"874",14,"2016-01-05 13:23:57",-60.4289717,-24.5955305,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"873",24,"2016-01-05 13:27:44",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"872",26,"2016-01-05 13:29:50",-45.8872968,-23.180501,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"871",26,"2016-01-05 13:38:55",-46.3338889,-23.9608329,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"870",18,"2016-01-05 13:40:41",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"869",18,"2016-01-05 13:45:59",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"868",30,"2016-01-05 13:51:44",-42.9427769,-21.1199999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"867",30,"2016-01-05 13:52:00",-42.9427769,-21.1199999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"866",18,"2016-01-05 14:14:23",-58.8328657,-27.4720341,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"865",26,"2016-01-05 14:21:44",-49.1593922,-22.8742566,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"864",38,"2016-01-05 14:33:57",121.0475399,14.3894091,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"863",30,"2016-01-05 14:34:24",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"862",36,"2016-01-05 14:34:58",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"861",38,"2016-01-05 14:38:10",121.023532,14.5568853,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"860",26,"2016-01-05 14:39:57",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"859",17,"2016-01-05 14:40:57",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"858",3,"2016-01-05 14:51:34",-78.5480189,-9.1170899,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"857",24,"2016-01-05 15:11:06",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"856",30,"2016-01-05 15:25:10",-43.0309251,-22.8219013,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"855",39,"2016-01-05 15:30:24",120.5985733,15.6069315,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"854",20,"2016-01-05 15:38:28",-51.1873548,-30.0051637,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"853",26,"2016-01-05 15:42:39",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"852",18,"2016-01-05 15:56:16",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"851",NA,"2016-01-05 15:56:47",-67.8220777,-9.9765361,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"850",31,"2016-01-05 16:01:15",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"849",11,"2016-01-05 16:02:21",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
