"Labels","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","country"
"Cesar",19,76,80,27,68,139,31,19,26,21,5,8,10,9,12,4,6,13,6,18,1,11,7,5,10,1,35,13,7,0,5,7,27,5,31,8,1,6,150,5,4,50,56,8,19,4,0,"Colombia"
"Sucre",5,22,27,125,113,135,72,39,31,2,7,8,5,14,10,9,2,1,7,3,5,3,5,3,3,2,4,3,8,5,4,1,0,52,2,3,0,1,4,3,5,5,9,0,1,4,2,"Colombia"
"Risaralda",32,6,6,14,26,14,10,19,7,15,9,5,16,42,8,2,1,1,3,6,6,2,1,1,3,1,157,9,6,3,4,51,3,3,0,1,2,1,2,3,1,0,2,2,1,1,3,"Colombia"
"Meta",14,12,11,14,16,29,6,19,21,6,12,5,10,3,4,8,15,9,10,10,10,4,44,55,16,3,2,9,5,8,1,2,5,1,1,0,1,0,1,0,2,2,0,9,0,2,0,"Colombia"
"Huila",10,6,16,13,22,32,50,7,8,5,11,12,14,10,13,10,3,4,3,0,0,1,1,13,16,0,2,1,6,5,3,0,5,4,0,2,12,2,4,0,1,21,15,2,24,1,2,"Colombia"
"Boyacá",10,9,17,93,50,36,9,6,2,6,20,2,3,5,7,5,1,2,5,1,1,0,1,1,1,5,11,2,11,9,9,1,1,0,0,0,3,1,1,1,1,2,2,0,0,2,2,"Colombia"
"Magdalena",11,15,14,18,28,11,8,9,11,14,7,4,6,1,13,4,4,4,4,2,0,2,5,7,5,0,16,36,16,2,2,2,2,15,1,2,2,4,1,0,1,4,1,0,2,4,1,"Colombia"
"Casanare",6,9,2,6,12,7,3,6,7,12,2,2,22,15,8,10,1,5,2,3,13,5,9,11,7,5,7,8,8,8,8,8,5,13,9,7,9,4,7,5,1,0,1,1,0,0,1,"Colombia"
"Norte de Santander",22,13,18,21,30,12,7,18,18,11,7,4,5,5,9,2,3,2,9,2,7,0,0,4,8,2,8,1,3,4,1,0,0,5,1,3,3,1,0,0,0,3,1,0,1,1,0,"Colombia"
"Tolima",5,11,15,18,32,20,11,8,19,6,8,6,6,2,11,3,5,8,3,1,4,3,4,5,1,3,3,2,4,7,1,2,0,2,4,3,2,1,0,3,4,2,0,0,0,4,3,"Colombia"
"La Guajira",5,19,15,21,23,10,20,14,7,3,11,0,0,1,9,2,0,1,1,2,2,1,0,1,1,0,26,8,1,6,0,1,0,2,7,3,3,1,1,0,2,15,2,0,0,3,0,"Colombia"
