"adminLvl1","country","date","count"
"Tacuarembó","Uruguay",2016-01-04,5
"Paysandú","Uruguay",2016-01-04,4
"Durazno","Uruguay",2016-01-04,1
"Colonia","Uruguay",2016-01-04,2
"Río Negro","Uruguay",2016-01-04,0
"Artigas","Uruguay",2016-01-04,0
"Rocha","Uruguay",2016-01-04,2
"Flores","Uruguay",2016-01-04,0
"Rivera","Uruguay",2016-01-04,1
"Soriano","Uruguay",2016-01-04,4
"Treinta y Tres","Uruguay",2016-01-04,0
"Cerro Largo","Uruguay",2016-01-04,5
"San José","Uruguay",2016-01-04,0
"Florida","Uruguay",2016-01-04,1
"Distrito Capital","Venezuela",2016-01-04,4955
"Aragua","Venezuela",2016-01-04,587
"Carabobo","Venezuela",2016-01-04,330
"Zulia","Venezuela",2016-01-04,163
"Lara","Venezuela",2016-01-04,128
"Táchira","Venezuela",2016-01-04,81
"Guárico","Venezuela",2016-01-04,25
"Barinas","Venezuela",2016-01-04,32
"Monagas","Venezuela",2016-01-04,43
"Bolívar","Venezuela",2016-01-04,82
"Anzoátegui","Venezuela",2016-01-04,71
"Miranda","Venezuela",2016-01-04,70
"Falcón","Venezuela",2016-01-04,41
"Vargas","Venezuela",2016-01-04,25
"Cojedes","Venezuela",2016-01-04,9
"Mérida","Venezuela",2016-01-04,62
"Yaracuy","Venezuela",2016-01-04,14
"Trujillo","Venezuela",2016-01-04,14
"Portuguesa","Venezuela",2016-01-04,14
"Nueva Esparta","Venezuela",2016-01-04,15
"Sucre","Venezuela",2016-01-04,6
"Apure","Venezuela",2016-01-04,4
"Amazonas","Venezuela",2016-01-04,0
"Delta Amacuro","Venezuela",2016-01-04,2
"Dependencias Federales","Venezuela",2016-01-04,0
"Buenos Aires","Argentine",2016-01-11,10362
"Buenos Aires Province","Argentine",2016-01-11,2520
"Misiones Province","Argentine",2016-01-11,1211
"Santa Fe Province","Argentine",2016-01-11,512
"Corrientes Province","Argentine",2016-01-11,429
"Salta Province","Argentine",2016-01-11,139
"Chaco Province","Argentine",2016-01-11,296
"Mendoza Province","Argentine",2016-01-11,171
"Entre Ríos Province","Argentine",2016-01-11,105
"Córdoba Province, Argentina","Argentine",2016-01-11,105
"Tucumán Province","Argentine",2016-01-11,171
"Chubut Province","Argentine",2016-01-11,50
"Jujuy Province","Argentine",2016-01-11,75
"Neuquén Province","Argentine",2016-01-11,33
"Formosa Province","Argentine",2016-01-11,129
"Río Negro Province","Argentine",2016-01-11,27
"Tierra del Fuego Province","Argentine",2016-01-11,46
"Catamarca Province","Argentine",2016-01-11,38
"Santa Cruz Province","Argentine",2016-01-11,12
"La Pampa Province","Argentine",2016-01-11,9
"La Rioja Province","Argentine",2016-01-11,7
"San Luis Province","Argentine",2016-01-11,6
"San Juan Province","Argentine",2016-01-11,4
"Santiago del Estero Province","Argentine",2016-01-11,3
"La Paz","Bolivia",2016-01-11,34
"El Beni","Bolivia",2016-01-11,8
"Santa Cruz","Bolivia",2016-01-11,2
"Tarija","Bolivia",2016-01-11,3
"Cochabamba","Bolivia",2016-01-11,0
"Potosí","Bolivia",2016-01-11,0
"Oruro","Bolivia",2016-01-11,0
"Chuquisaca","Bolivia",2016-01-11,0
"Pando","Bolivia",2016-01-11,0
"Federal District","Brazil",2016-01-11,13846
"São Paulo","Brazil",2016-01-11,2860
"Rio de Janeiro","Brazil",2016-01-11,1373
"Minas Gerais","Brazil",2016-01-11,1287
"Paraná","Brazil",2016-01-11,1450
"Rio Grande do Sul","Brazil",2016-01-11,476
"Santa Catarina","Brazil",2016-01-11,447
"Bahia","Brazil",2016-01-11,417
"Pernambuco","Brazil",2016-01-11,313
"Goiás","Brazil",2016-01-11,246
"Rio Grande do Norte","Brazil",2016-01-11,226
"Espírito Santo","Brazil",2016-01-11,367
"Ceará","Brazil",2016-01-11,188
"Pará","Brazil",2016-01-11,185
"Paraíba","Brazil",2016-01-11,262
"Maranhão","Brazil",2016-01-11,98
"Amazonas","Brazil",2016-01-11,119
"Mato Grosso do Sul","Brazil",2016-01-11,203
"Mato Grosso","Brazil",2016-01-11,93
"Alagoas","Brazil",2016-01-11,86
"Piauí","Brazil",2016-01-11,63
"Tocantins","Brazil",2016-01-11,27
"Amapá","Brazil",2016-01-11,44
"Sergipe","Brazil",2016-01-11,45
"Acre","Brazil",2016-01-11,28
"Rondônia","Brazil",2016-01-11,53
"Roraima","Brazil",2016-01-11,15
"Región Metropolitana de Santiago","Chile",2016-01-11,1705
"Bío-Bío","Chile",2016-01-11,77
"Valparaíso","Chile",2016-01-11,19
"Los Lagos","Chile",2016-01-11,7
"La Araucanía","Chile",2016-01-11,4
"Maule","Chile",2016-01-11,23
"Atacama","Chile",2016-01-11,2
"Coquimbo","Chile",2016-01-11,3
"Los Ríos","Chile",2016-01-11,2
"Antofagasta","Chile",2016-01-11,1
"Tarapacá","Chile",2016-01-11,1
"Libertador General Bernardo O'Higgins","Chile",2016-01-11,1
"Arica y Parinacota","Chile",2016-01-11,0
"Magallanes y Antártica Chilena","Chile",2016-01-11,0
"Aisén del General Carlos Ibáñez del Campo","Chile",2016-01-11,0
"Córdoba","Colombia",2016-01-11,736
"Bogota","Colombia",2016-01-11,611
"Antioquia","Colombia",2016-01-11,61
"Atlántico","Colombia",2016-01-11,97
"Cauca","Colombia",2016-01-11,62
"Valle del Cauca","Colombia",2016-01-11,47
"Bolívar","Colombia",2016-01-11,82
"Santander","Colombia",2016-01-11,42
"Cesar","Colombia",2016-01-11,76
"Sucre","Colombia",2016-01-11,22
"Risaralda","Colombia",2016-01-11,6
"Meta","Colombia",2016-01-11,12
"Huila","Colombia",2016-01-11,6
"Boyacá","Colombia",2016-01-11,9
"Magdalena","Colombia",2016-01-11,15
"Casanare","Colombia",2016-01-11,9
"Norte de Santander","Colombia",2016-01-11,13
"Tolima","Colombia",2016-01-11,11
"La Guajira","Colombia",2016-01-11,19
"Nariño","Colombia",2016-01-11,7
"Cundinamarca","Colombia",2016-01-11,1
"Caldas","Colombia",2016-01-11,6
"Caquetá","Colombia",2016-01-11,2
"Quindío","Colombia",2016-01-11,7
"Arauca","Colombia",2016-01-11,1
"Chocó","Colombia",2016-01-11,0
"Putumayo","Colombia",2016-01-11,1
"San Andrés y Providencia","Colombia",2016-01-11,0
"Vaupés","Colombia",2016-01-11,1
"Vichada","Colombia",2016-01-11,0
"Guaviare","Colombia",2016-01-11,0
"Guainía","Colombia",2016-01-11,0
"Amazonas","Colombia",2016-01-11,0
"Pichincha","Ecuador",2016-01-11,270
"Guayas","Ecuador",2016-01-11,211
"Loja","Ecuador",2016-01-11,68
"Manabi","Ecuador",2016-01-11,26
"El Oro","Ecuador",2016-01-11,33
"Los Rios","Ecuador",2016-01-11,2
"Azuay","Ecuador",2016-01-11,13
"Esmeraldas","Ecuador",2016-01-11,1
"Zamora Chinchipe","Ecuador",2016-01-11,2
"Tungurahua","Ecuador",2016-01-11,0
"Santa Elena","Ecuador",2016-01-11,7
"Morona Santiago","Ecuador",2016-01-11,5
"Imbabura","Ecuador",2016-01-11,5
"Galápagos","Ecuador",2016-01-11,8
"Chimborazo","Ecuador",2016-01-11,3
"Napo","Ecuador",2016-01-11,2
"Orellana","Ecuador",2016-01-11,0
"Santo Domingo de los Tsáchilas","Ecuador",2016-01-11,1
"Cañar","Ecuador",2016-01-11,0
"Cotopaxi","Ecuador",2016-01-11,0
"Sucumbios","Ecuador",2016-01-11,1
"Pastaza","Ecuador",2016-01-11,1
"Bolivar","Ecuador",2016-01-11,0
"Carchi","Ecuador",2016-01-11,0
"East Berbice-Corentyne","Guyana",2016-01-11,1
"Mahaica-Berbice","Guyana",2016-01-11,0
"Upper Takutu-Upper Essequibo","Guyana",2016-01-11,0
"Upper Demerara-Berbice","Guyana",2016-01-11,0
"Potaro-Siparuni","Guyana",2016-01-11,0
"Pomeroon-Supenaam","Guyana",2016-01-11,0
"Essequibo Islands-West Demerara","Guyana",2016-01-11,0
"Demerara-Mahaica","Guyana",2016-01-11,0
"Cuyuni-Mazaruni","Guyana",2016-01-11,0
"Barima-Waini","Guyana",2016-01-11,0
"Asunción","Paraguay",2016-01-11,5208
"Central","Paraguay",2016-01-11,325
"Alto Paraná","Paraguay",2016-01-11,246
"Itapúa","Paraguay",2016-01-11,92
"Caaguazú","Paraguay",2016-01-11,98
"Misiones","Paraguay",2016-01-11,28
"Guairá","Paraguay",2016-01-11,89
"Ñeembucú","Paraguay",2016-01-11,42
"Amambay","Paraguay",2016-01-11,31
"Presidente Hayes","Paraguay",2016-01-11,27
"Concepción","Paraguay",2016-01-11,27
"Cordillera","Paraguay",2016-01-11,9
"Paraguarí","Paraguay",2016-01-11,11
"Caazapá","Paraguay",2016-01-11,4
"San Pedro","Paraguay",2016-01-11,16
"Canindeyú","Paraguay",2016-01-11,1
"Boquerón","Paraguay",2016-01-11,1
"Alto Paraguay","Paraguay",2016-01-11,0
"Lima Province","Peru",2016-01-11,391
"La Libertad","Peru",2016-01-11,15
"Piura","Peru",2016-01-11,4
"Lima","Peru",2016-01-11,4
"Ayacucho","Peru",2016-01-11,3
"Arequipa","Peru",2016-01-11,5
"Ucayali","Peru",2016-01-11,30
"Junín","Peru",2016-01-11,19
"Ancash","Peru",2016-01-11,11
